sample size,iteration,tauhat,sehat,bias
100,1,4.244639088987246,0.42106337515865716,2.2446390889872463
100,2,2.508494863922416,0.2206452800482687,0.508494863922416
100,3,2.2668374985203386,0.2508396627215448,0.26683749852033856
100,4,3.0945967943125527,0.2933979980508925,1.0945967943125527
100,5,2.8185521898536736,0.4914416679653706,0.8185521898536736
100,6,2.3864903773034776,0.2385991984647597,0.3864903773034776
100,7,2.5328979815743353,0.31751887864129386,0.5328979815743353
100,8,3.5221818855359057,0.38481499125556573,1.5221818855359057
100,9,2.432489433718733,0.2559358403824432,0.43248943371873283
100,10,3.4955309751093857,0.6796050549542237,1.4955309751093857
100,11,3.34363312115912,0.33928588676444693,1.3436331211591201
100,12,4.132917812014202,0.7194894263826521,2.1329178120142016
100,13,3.6183293434557795,0.23738132332795547,1.6183293434557795
100,14,2.0024486240899297,0.21349649044847166,0.0024486240899297407
100,15,2.013753312433837,0.43700824296450685,0.013753312433836928
100,16,2.2309098952052415,0.26625650792851907,0.23090989520524152
100,17,2.4629810115038318,0.19292373087631853,0.46298101150383175
100,18,4.050394912885592,0.476560690775202,2.050394912885592
100,19,1.9042751515271774,0.24045123915608296,-0.09572484847282259
100,20,2.558394574466054,0.7081797092100635,0.5583945744660541
100,21,2.2802564618278094,0.22097972421394485,0.2802564618278094
100,22,4.503723023424984,0.4692701844541355,2.5037230234249837
100,23,2.7922513716157997,0.2397989171486818,0.7922513716157997
100,24,2.7321158155411895,0.3228524184139842,0.7321158155411895
100,25,3.3213134428934303,0.4120199472780688,1.3213134428934303
100,26,2.451453469707927,0.23009492037126297,0.4514534697079271
100,27,2.143421293711559,0.24494650942841015,0.1434212937115591
100,28,2.4456247574523973,0.27875952967083173,0.44562475745239727
100,29,2.132192747943412,0.2780516858720143,0.13219274794341196
100,30,2.505781758453474,0.27780523289374576,0.5057817584534741
100,31,2.0755842925219143,0.5670704831129348,0.07558429252191434
100,32,2.869146759739361,0.24549093351778126,0.869146759739361
100,33,3.4007499674862727,0.3694539892399887,1.4007499674862727
100,34,2.6887907574744445,0.28810278607805007,0.6887907574744445
100,35,2.0365089515391785,0.22622906844517562,0.03650895153917855
100,36,3.072148568225381,0.49479150384546094,1.0721485682253808
100,37,2.0371449491548725,0.3715516713007907,0.03714494915487254
100,38,3.3139744939879985,0.28657018690837427,1.3139744939879985
100,39,4.582500893493119,0.4361745074428032,2.582500893493119
100,40,3.3586017019619385,0.3087380637754021,1.3586017019619385
100,41,1.9294846367104297,0.24056913388141957,-0.07051536328957031
100,42,3.8702477362437673,0.3795583802495304,1.8702477362437673
100,43,3.1534831169886193,0.515299506125721,1.1534831169886193
100,44,2.762955328059524,0.2965837755886294,0.7629553280595238
100,45,2.1736827129159826,0.21801388641901448,0.17368271291598258
100,46,2.773986238092748,0.3091615702479043,0.773986238092748
100,47,1.8523758568789241,0.2077761437391789,-0.14762414312107586
100,48,2.7789349621650805,0.2510962742792048,0.7789349621650805
100,49,4.04740168336591,0.4297118889325374,2.0474016833659103
100,50,2.9971249713782866,0.43123705297299836,0.9971249713782866
100,51,2.615428402659737,0.22134700489136275,0.6154284026597372
100,52,1.8822438712109524,0.277401706454936,-0.11775612878904762
100,53,2.092871003734337,0.3348216157078126,0.09287100373433699
100,54,3.0354846719345274,0.2747860678868576,1.0354846719345274
100,55,3.1968663931277606,0.24135699050450213,1.1968663931277606
100,56,2.8381705199782905,0.5872732270930681,0.8381705199782905
100,57,4.093952550940534,0.523451204347742,2.093952550940534
100,58,2.3033415935727684,0.36235434804209676,0.30334159357276835
100,59,2.4931294840973344,0.2376514120615768,0.49312948409733437
100,60,2.960016527137289,0.26867696603222274,0.9600165271372889
100,61,1.811505902758137,0.19783056678628927,-0.18849409724186295
100,62,3.030767225288339,0.30523609719509237,1.030767225288339
100,63,2.5282271545328294,0.24161163773030916,0.5282271545328294
100,64,1.9035237482567733,0.1952408638295372,-0.09647625174322672
100,65,1.7519212097959103,0.20074531718017613,-0.24807879020408974
100,66,2.6933563128390725,0.27241530418651827,0.6933563128390725
100,67,2.801839778515366,0.23013618899234864,0.8018397785153661
100,68,3.012754331031994,0.24839705928002273,1.012754331031994
100,69,5.469358003189118,1.0252660290962867,3.469358003189118
100,70,4.987674796259341,0.5100798584531199,2.9876747962593413
100,71,3.0740428949158063,0.3439900610514608,1.0740428949158063
100,72,2.0204101622944,0.3525238995760535,0.02041016229440018
100,73,1.617633605762347,0.19867174250294262,-0.38236639423765295
100,74,2.5463869334222506,1.139489082423352,0.5463869334222506
100,75,3.1605518680239344,0.2305844705166738,1.1605518680239344
100,76,1.0798511261603732,0.21706520534380178,-0.9201488738396268
100,77,2.4864597814633767,0.2720224649428438,0.48645978146337665
100,78,1.8958528382312192,0.2201384729118153,-0.1041471617687808
100,79,3.553059572302495,0.4074709503030827,1.553059572302495
100,80,5.194703980818147,0.6016767092577903,3.194703980818147
100,81,4.615951637292291,0.44872009400662255,2.615951637292291
100,82,2.7678364615672892,0.2493168702154787,0.7678364615672892
100,83,1.7143196035216097,0.22720549693570655,-0.2856803964783903
100,84,2.410445598715918,0.22051595059664225,0.4104455987159179
100,85,1.4726727147005048,0.21497794449211036,-0.5273272852994952
100,86,2.4608534672375213,0.22982360843992025,0.4608534672375213
100,87,2.693230031745633,0.2886782598429694,0.693230031745633
100,88,2.734669024018652,0.3168753240986219,0.7346690240186522
100,89,5.126289553938073,0.9413850508496323,3.126289553938073
100,90,2.355093804028802,0.21878730558220372,0.35509380402880186
100,91,2.3291391287522933,0.2205729621354182,0.32913912875229334
100,92,2.8504266898561386,0.32932752905357865,0.8504266898561386
100,93,3.6104890946756503,0.3932926642041155,1.6104890946756503
100,94,2.64581517858574,0.33353022859408565,0.6458151785857398
100,95,3.763506119007347,0.46561354560671186,1.763506119007347
100,96,3.964193512208304,0.5283777491720951,1.964193512208304
100,97,2.632761233023841,0.24561707810043473,0.632761233023841
100,98,2.0310080166355,0.628575493690465,0.031008016635500013
100,99,2.1484800416404846,0.34065104106782074,0.14848004164048456
100,100,1.2979332428836319,0.28368001544619703,-0.7020667571163681
100,101,3.0888527104076706,0.36420145693534134,1.0888527104076706
100,102,4.047124466151043,0.30477335786279697,2.0471244661510433
100,103,1.9762509316360735,0.21278034175424257,-0.02374906836392654
100,104,3.9447252572408864,0.48279474195700045,1.9447252572408864
